title,content
Signs point to more economic turbulence as the war in Ukraine intensifies,"Signs point to more economic turbulence as the war in Ukraine intensifies Analysis by Maeve Reston, CNN  Updated 0400 GMT (1200 HKT) April 20, 2022    (CNN)President Joe Biden's visit to the critical swing state of New Hampshire to sell his domestic agenda was overshadowed by new economic warning signs of how Russia's invasion of Ukraine is creating greater uncertainty and volatility in the world economy, compounding the obstacles the President and his party are facing in November. "
Some Democrats fear a 2020 repeat as cash flows to long-shot candidates,"Some Democrats fear a 2020 repeat as cash flows to long-shot candidates By Dan Merica, CNN  Updated 2201 GMT (0601 HKT) April 18, 2022   (CNN)Marcus Flowers makes it perfectly clear why he is running for Congress: The Georgia Democrat wants to unseat Rep. Marjorie Taylor Greene, the attention-grabbing, conspiracy-pushing Republican who fills Democrats with rage. "
Abortion rights supporters try again to block enforcement of Texas' 6-week abortion ban,"Abortion rights supporters try again to block enforcement of Texas' 6-week abortion ban By Ariane de Vogue, CNN Supreme Court Reporter  Updated 2334 GMT (0734 HKT) April 19, 2022   (CNN)Supporters of abortion rights filed a new federal lawsuit Tuesday in the latest bid to prevent enforcement of Texas' six-week abortion ban, which has dramatically reduced access to the procedure in the country's second largest state.  "
"US prepping another $800 million weapons package for Ukraine, multiple sources say","US prepping another $800 million weapons package for Ukraine, multiple sources say By Kylie Atwood, Alex Marquardt, Kaitlan Collins, Oren Liebermann and Jennifer Hansler, CNN  Updated 2147 GMT (0547 HKT) April 19, 2022  Washington (CNN)The US is prepping another $800 million military assistance package for Ukraine, according to three senior administration officials and two sources familiar with the planning. "
"US prepping another $800 million weapons package for Ukraine, multiple sources say","US prepping another $800 million weapons package for Ukraine, multiple sources say By Kylie Atwood, Alex Marquardt, Kaitlan Collins, Oren Liebermann and Jennifer Hansler, CNN  Updated 2147 GMT (0547 HKT) April 19, 2022  Washington (CNN)The US is prepping another $800 million military assistance package for Ukraine, according to three senior administration officials and two sources familiar with the planning. "
Biden says Russian invasion of Ukraine will 'continue to take its toll' on the global economy,"Biden says Russian invasion of Ukraine will 'continue to take its toll' on the global economy By Betsy Klein and Kate Sullivan, CNN  Updated 1951 GMT (0351 HKT) April 19, 2022    (CNN)President Joe Biden on Tuesday warned Russia's ongoing war in Ukraine would continue to ""take its toll"" on the global economy as he acknowledged soaring inflation while touting his domestic accomplishments in Portsmouth, New Hampshire. "
Biden says Russian invasion of Ukraine will 'continue to take its toll' on the global economy,"Biden says Russian invasion of Ukraine will 'continue to take its toll' on the global economy By Betsy Klein and Kate Sullivan, CNN  Updated 1951 GMT (0351 HKT) April 19, 2022    (CNN)President Joe Biden on Tuesday warned Russia's ongoing war in Ukraine would continue to ""take its toll"" on the global economy as he acknowledged soaring inflation while touting his domestic accomplishments in Portsmouth, New Hampshire. "
Signs point to more economic turbulence as the war in Ukraine intensifies,"Signs point to more economic turbulence as the war in Ukraine intensifies Analysis by Maeve Reston, CNN  Updated 0400 GMT (1200 HKT) April 20, 2022    (CNN)President Joe Biden's visit to the critical swing state of New Hampshire to sell his domestic agenda was overshadowed by new economic warning signs of how Russia's invasion of Ukraine is creating greater uncertainty and volatility in the world economy, compounding the obstacles the President and his party are facing in November. "
Some Democrats fear a 2020 repeat as cash flows to long-shot candidates,"Some Democrats fear a 2020 repeat as cash flows to long-shot candidates By Dan Merica, CNN  Updated 2201 GMT (0601 HKT) April 18, 2022   (CNN)Marcus Flowers makes it perfectly clear why he is running for Congress: The Georgia Democrat wants to unseat Rep. Marjorie Taylor Greene, the attention-grabbing, conspiracy-pushing Republican who fills Democrats with rage. "
Abortion rights supporters try again to block enforcement of Texas' 6-week abortion ban,"Abortion rights supporters try again to block enforcement of Texas' 6-week abortion ban By Ariane de Vogue, CNN Supreme Court Reporter  Updated 2334 GMT (0734 HKT) April 19, 2022   (CNN)Supporters of abortion rights filed a new federal lawsuit Tuesday in the latest bid to prevent enforcement of Texas' six-week abortion ban, which has dramatically reduced access to the procedure in the country's second largest state.  "
"US prepping another $800 million weapons package for Ukraine, multiple sources say","US prepping another $800 million weapons package for Ukraine, multiple sources say By Kylie Atwood, Alex Marquardt, Kaitlan Collins, Oren Liebermann and Jennifer Hansler, CNN  Updated 2147 GMT (0547 HKT) April 19, 2022  Washington (CNN)The US is prepping another $800 million military assistance package for Ukraine, according to three senior administration officials and two sources familiar with the planning. "
Biden says Russian invasion of Ukraine will 'continue to take its toll' on the global economy,"Biden says Russian invasion of Ukraine will 'continue to take its toll' on the global economy By Betsy Klein and Kate Sullivan, CNN  Updated 1951 GMT (0351 HKT) April 19, 2022    (CNN)President Joe Biden on Tuesday warned Russia's ongoing war in Ukraine would continue to ""take its toll"" on the global economy as he acknowledged soaring inflation while touting his domestic accomplishments in Portsmouth, New Hampshire. "
"Oath Keepers discussed protecting Rep. Ronny Jackson on January 6, texts reveal","Oath Keepers discussed protecting Rep. Ronny Jackson on January 6, texts reveal By Holmes Lybrand, Katelyn Polantz and Hannah Rabinowitz, CNN  Updated 2003 GMT (0403 HKT) April 19, 2022    (CNN)Members of the Oath Keepers discussed protecting Rep. Ronny Jackson, a Texas Republican, during the Capitol riot because he had ""critical data to protect,"" according to court documents filed Monday.   "
"Who is Judge Kathryn Kimball Mizelle, the federal judge who blocked Biden's travel mask mandate?","Who is Judge Kathryn Kimball Mizelle, the federal judge who blocked Biden's travel mask mandate? By Veronica Stracqualursi, CNN  Updated 2055 GMT (0455 HKT) April 19, 2022   (CNN)A little-known federal judge appointed by former President Donald Trump found herself in the national spotlight on Monday after striking down the Biden administration's public transportation mask mandate.  CNN's Tierney Sneed and Dan Berman contributed to this report."
Ukraine war: Kyiv's allies pledge more weapons to help win war,"Ukraine war: Kyiv's allies pledge more weapons to help win war Ukraine's allies have pledged to send more weapons to help it defend against a renewed Russian offensive. The US and others vowed to send artillery, anti-tank and air defence aid to Kyiv during a 90-minute video call on Tuesday.  Ukraine says it needs the weapons to help defend itself as Russia launched a new campaign in the country's east. Clashes there have marked what Ukraine leader Volodymyr Zelensky said was the start of the ""battle for the Donbas"".  The eastern Donbas - which comprises the Luhansk and Donetsk regions - is where Russia is concentrating its efforts.  According to Ukraine, Russian forces have been attacking Ukrainian positions along the entire 300-mile (480km) front line since Monday. It was amid these renewed attacks that Western leaders met to discuss further military assistance for Ukraine. Following the meeting, the US defence department said additional military aircraft and aircraft parts had been sent to Ukraine to increase their fleet size and repair others in Ukraine's arsenal that were damaged. The US defence department added that the US had not provided aircraft to Kyiv itself, and did not provide details on which countries have provided the aircraft. President Zelensky has been appealing to the US for Soviet-made air defence systems and fighter jets as an alternative to a no-fly zone over Ukraine. Last month, the US refused a proposal by Poland to provide it with MiG-29 fighter jets, which it would then transfer to Ukraine. President Joe Biden, speaking to reporters after the meeting between Western allies, added that the US is planning to provide a further military aid package to Ukraine of a similar size to the $800m (£615m) aid package he announced last week, according to US media. He said Washington would also be sending Ukraine more artillery - heavy guns deployed in land warfare. Other countries also pledged to help Ukraine with further military assistance during the meeting. ""They [Ukraine] need support with more artillery, that is what we will be giving them,"" said the UK Prime Minister Boris Johnson in parliament after the meeting. In Berlin, Chancellor Olaf Scholz said Germany was providing finance to enable Ukraine to buy anti-tank weapons and ammunition from German arms manufacturers.  Meanwhile, the Czech Republic said it would repair Ukrainian tanks and armoured vehicles when they are damaged in combat. Further economic sanctions against Russia was another topic on the agenda. The arms pledges follow persistent calls from President Zelensky for allies to increase their weapons supplies to Kyiv. ""We need heavy artillery, armed vehicles, air defence systems and combat aircraft — anything to repel Russian forces and stop their war crimes,"" Mr Zelensky said on Twitter last week. ""Nobody will stop Russia except Ukraine with heavy weapons"". Russia fiercely opposes such assistance. ""The United States and Western states under its control are doing everything to drag out the military operation for as long as possible,"" Russia's defence chief Sergei Shoigu said. The leaders also discussed how to provide security guarantees to Ukraine after the war even if it is not a member of Nato, a French presidential advisor said. Nato is a military alliance whose 30 members - including the US, UK and Germany - have agreed to come to one another's aid in the event of an armed attack against any one of them. Since Ukraine is not a Nato member, the alliance isn't obliged to come to its defence.  Its members fear that involving themselves in direct armed confrontation could lead to an all-out conflict between Russia and the West. Instead, Nato members have supplied Ukraine with millions of dollars worth of military aid since Russia launched the invasion. This video can not be played Finland to decide on Nato bid in weeks, says PM What is Nato and how is it helping Ukraine?"
Sri Lanka crisis: One killed after police fire live bullets at protesters,"Sri Lanka crisis: One killed after police fire live bullets at protesters Outrage has erupted over the death of a Sri Lankan man who was killed when police fired live bullets at protesters, also injuring 14 others. Footage of police opening fire in the central town of Rambukkana has been widely shared on social media. Police said they used ""minimum force"" to  disperse protesters, but many have asked why live bullets were used.  The incident has been condemned by the UN representative to Sri Lanka as well as the US and EU envoys. It comes as the nation is grappling with its worst economic crisis since independence from Britain in 1948.  Tens of thousands of demonstrators have taken to the streets since Sri Lanka ran out of money for vital imports which has seen the prices of essential commodities skyrocket and caused acute shortages of fuel, medicines and electricity. Protesters are demanding the resignation of President Gotabaya Rajapaksa as they blame his policies for the crisis, but he is refusing to quit. Mr Rajapaksa admitted that he made several ""mistakes"" that contributed to the situation, but his appointment of a new cabinet on Monday angered many Sri Lankans. There were protests in a number of areas on Tuesday after Sri Lanka's main fuel retailer put prices up by nearly 65%. The prices of essential food items like wheat flour also increased on Tuesday. The crowds in Rambukkana had been protesting for about 15 hours demanding fuel, BBC Sinhala's Ranga Sirilal reports. Thousands of angry motorists and bus drivers were also burning tyres and blocking the nearby highway linking the capital Colombo with the city of Kandy. At least three of the injured protesters are said to be in a critical condition. The man who died was likely to have been shot, Mihiri Priyangani, director of the Kegalle Teaching Hospital, told Reuters news agency.  ""We are suspecting gunshot injuries but need a post-mortem to confirm the exact cause of death."" ""Police had to fire to control the protesters. They set fire to some tyres too, so police had to fire to disperse them,"" police spokesman Nihal Talduwa told the BBC. The authorities say the crowd threw stones and other objects at police, injuring a number of them but many are asking why live bullets were deemed to be an appropriate response. Why was live ammunition fired against unarmed civilians? The Law & Order Minister must immediately issue instructions to Police to ensure that such violence is not unleashed on peaceful protestors across the island. I strongly condemn the use of excessive force! #Rambukkana #LKA The Inspector General of Police CD Wickramaratne later issued a statement saying that police had acted to stop a group of protesters from setting fire to a truck containing 30,000 litres of fuel. This has been disputed by protesters, while many on social media have pointed out that video of the incident shows no such threat to the truck.  Footage from other parts of the country showing police beating and firing tear gas at protesters have also caused massive outrage.  The US Ambassador to Sri Lanka, Julie Chung, has called for a ""full, transparent investigation"" into the violence, adding that ""the people's right to peaceful protest must be upheld"".  The demonstrations mark a massive turnaround in popularity for Mr Rajapaksa who swept into power in 2019, promising stability and a ""strong hand"" to rule the country. Critics say corruption and nepotism - his brothers and nephews occupied several key ministerial portfolios - are the main reasons for the crisis. His new cabinet contained several party stalwarts, but was shorn of Rajapaksa family members, apart from the president's elder brother Mahinda who kept his job as prime minister. The latest incident came as Sri Lankan officials headed to the IMF requesting urgent financial help. Beleaguered Sri Lanka leader appoints new cabinet Why are there mass protests in Sri Lanka? No medicine for kids in a collapsing health system"
