S.N,Actual Value,Predicted Value,News Content
0,0,1,sign point economic turbulence war ukraine intensify analysis maeve reston cnn update gmt hkt april cnn president joe biden visit critical swing state new hampshire sell domestic agenda overshadow new economic warn sign russia invasion ukraine create greater uncertainty volatility world economy compound obstacles president party face november
1,0,1,democrats fear repeat cash flow long shoot candidates dan merica cnn update gmt hkt april cnn marcus flower make perfectly clear run congress georgia democrat want unseat rep marjorie taylor greene attention grab conspiracy push republican fill democrats rage
2,0,0,abortion right supporters try block enforcement texas week abortion ban ariane de vogue cnn supreme court reporter update gmt hkt april cnn supporters abortion right file new federal lawsuit tuesday latest bid prevent enforcement texas six week abortion ban dramatically reduce access procedure country second largest state
3,0,1,us prepping another million weapons package ukraine multiple source say kylie atwood alex marquardt kaitlan collins oren liebermann jennifer hansler cnn update gmt hkt april washington cnn us prepping another million military assistance package ukraine accord three senior administration officials two source familiar plan
4,0,1,biden say russian invasion ukraine continue take toll global economy betsy klein kate sullivan cnn update gmt hkt april cnn president joe biden tuesday warn russia ongoing war ukraine would continue take toll global economy acknowledge soar inflation tout domestic accomplishments portsmouth new hampshire
5,0,1,oath keepers discuss protect rep ronny jackson january texts reveal holmes lybrand katelyn polantz hannah rabinowitz cnn update gmt hkt april cnn members oath keepers discuss protect rep ronny jackson texas republican capitol riot critical data protect accord court document file monday
6,0,1,judge kathryn kimball mizelle federal judge block biden travel mask mandate veronica stracqualursi cnn update gmt hkt april cnn little know federal judge appoint former president donald trump find national spotlight monday strike biden administration public transportation mask mandate cnn tierney sneed dan berman contribute report
7,0,0,ukraine war kyiv ally pledge weapons help win war ukraine ally pledge send weapons help defend renew russian offensive us others vow send artillery anti tank air defence aid kyiv minute video call tuesday ukraine say need weapons help defend russia launch new campaign country east clash mark ukraine leader volodymyr zelensky say start battle donbas eastern donbas comprise luhansk donetsk regions russia concentrate efforts accord ukraine russian force attack ukrainian position along entire mile front line since monday amid renew attack western leaders meet discuss military assistance ukraine follow meet us defence department say additional military aircraft aircraft part send ukraine increase fleet size repair others ukraine arsenal damage us defence department add us provide aircraft kyiv provide detail countries provide aircraft president zelensky appeal us soviet make air defence systems fighter jet alternative fly zone ukraine last month us refuse proposal poland provide mig fighter jet would transfer ukraine president joe biden speak reporters meet western ally add us plan provide military aid package ukraine similar size aid package announce last week accord us media say washington would also send ukraine artillery heavy gun deploy land warfare countries also pledge help ukraine military assistance meet need support artillery give say uk prime minister boris johnson parliament meet berlin chancellor olaf scholz say germany provide finance enable ukraine buy anti tank weapons ammunition german arm manufacturers meanwhile czech republic say would repair ukrainian tank armour vehicles damage combat economic sanction russia another topic agenda arm pledge follow persistent call president zelensky ally increase weapons supply kyiv need heavy artillery arm vehicles air defence systems combat aircraft anything repel russian force stop war crimes mr zelensky say twitter last week nobody stop russia except ukraine heavy weapons russia fiercely oppose assistance unite state western state control everything drag military operation long possible russia defence chief sergei shoigu say leaders also discuss provide security guarantee ukraine war even member nato french presidential advisor say nato military alliance whose members include us uk germany agree come one another aid event arm attack one since ukraine nato member alliance oblige come defence members fear involve direct arm confrontation could lead conflict russia west instead nato members supply ukraine millions dollars worth military aid since russia launch invasion video play finland decide nato bid weeks say pm nato help ukraine
8,0,0,sri lanka crisis one kill police fire live bullets protesters outrage erupt death sri lankan man kill police fire live bullets protesters also injure others footage police open fire central town rambukkana widely share social media police say use minimum force disperse protesters many ask live bullets use incident condemn un representative sri lanka well us eu envoys come nation grapple worst economic crisis since independence britain tens thousands demonstrators take streets since sri lanka run money vital import see price essential commodities skyrocket cause acute shortages fuel medicine electricity protesters demand resignation president gotabaya rajapaksa blame policies crisis refuse quit mr rajapaksa admit make several mistake contribute situation appointment new cabinet monday anger many sri lankans protest number areas tuesday sri lanka main fuel retailer put price nearly price essential food items like wheat flour also increase tuesday crowd rambukkana protest hours demand fuel bbc sinhala ranga sirilal report thousands angry motorists bus drivers also burn tyres block nearby highway link capital colombo city kandy least three injure protesters say critical condition man die likely shoot mihiri priyangani director kegalle teach hospital tell reuters news agency suspect gunshot injuries need post mortem confirm exact cause death police fire control protesters set fire tyres police fire disperse police spokesman nihal talduwa tell bbc authorities say crowd throw stone object police injure number many ask live bullets deem appropriate response live ammunition fire unarm civilians law order minister must immediately issue instructions police ensure violence unleash peaceful protestors across island strongly condemn use excessive force rambukkana lka inspector general police cd wickramaratne later issue statement say police act stop group protesters set fire truck contain litres fuel dispute protesters many social media point video incident show threat truck footage part country show police beat fire tear gas protesters also cause massive outrage us ambassador sri lanka julie chung call full transparent investigation violence add people right peaceful protest must uphold demonstrations mark massive turnaround popularity mr rajapaksa sweep power promise stability strong hand rule country critics say corruption nepotism brothers nephews occupy several key ministerial portfolios main reason crisis new cabinet contain several party stalwarts shorn rajapaksa family members apart president elder brother mahinda keep job prime minister latest incident come sri lankan officials head imf request urgent financial help beleaguer sri lanka leader appoint new cabinet mass protest sri lanka medicine kid collapse health system
9,0,0,gotabaya rajapaksa beleaguer sri lanka leader appoint new cabinet beleaguer sri lankan president gotabaya rajapaksa appoint new cabinet despite call resign disastrous economic crisis new minister name include several relatives previously hold portfolios although number stalwarts keep seat call opposition join unity government refuse island nation grapple worst economic crisis since independence britain cause part lack foreign currency mean sri lanka cannot afford pay import staple foods fuel lead acute shortages high price power cut last half day shortages food medicine fuel public anger soar last week sri lanka also say would temporarily default foreign debts payment bond debts due make monday day government begin bailout talk international monetary fund stock exchange also suspend week effect monday mass protest begin early april people call president rajapaksa quit cabinet resign en masse refuse go despite opposition argue lose people mandate appointment new cabinet appear another sign bend protesters demand also come hours media outlets sympathetic government label peaceful protest capital beach party imply fund terror organisations protest colombo galle face green attract thousands people protest break mr rajapaksa activate draconian emergency law impose curfew try stop also ban social media later withdraw measure fail deter protesters elder brother prime minister mahinda rajapaksa among resign keep post new cabinet address nation apparent attempt placate protesters call president resign grow louder demonstrations mark massive turnaround popularity mr rajapaksa sweep power thump majority win promise stability strong hand rule country critics say rank corruption nepotism brothers nephews occupy several key ministerial portfolios main reason situation country find opulent display wealth family members increase anger significantly rajapaksa family members new cabinet apart prime minister four minister include finance minister ali sabry foreign minister gl peiris keep post position cabinet fill men previous cabinet one woman hold ministerial portfolio mass protest sri lanka medicine kid collapse health system
